id,gender,religion,educ,income,space_housing,own_housing,height,health,use_internet,fairness,opinion_homosex,manda_speak,educ_fath,educ_moth,food_exp,education_exp,health_exp,educ_parent,married,race,age,weight,party,happiness
8525,1,1,3,10000,60,0,155,1,1,4,3,1,3,1,NA,NA,NA,2,1,0,69,47.5,0,4
8526,0,1,4,90000,120,0,177,5,5,3,1,2,1,1,NA,NA,NA,1,1,0,37,69,0,4
8528,1,1,1,0,180,0,155,1,1,3,1,2,1,1,NA,NA,NA,1,1,0,62,60,0,4
8529,1,1,1,0,70,0,152,3,1,4,3,3,1,1,NA,NA,NA,1,1,0,58,55,0,4
8530,1,1,3,50000,15,0,155,4,3,2,1,3,1,1,NA,NA,NA,1,1,0,43,47.5,0,3
8531,0,1,6,36000,83,1,176,3,1,2,3,3,2,1,23500,0,2000,1.5,1,0,68,76,1,3
8532,0,1,4,60000,20,1,178,5,1,4,3,4,3,3,5000,5000,1000,3,1,0,38,85,0,4
8535,0,1,4,30000,306,1,176,5,4,2,1,5,5,5,10000,5000,0,5,1,0,34,80,0,3
8536,0,1,3,0,130,1,170,5,1,4,2,3,1,1,NA,NA,NA,1,1,0,47,69,0,4
8538,0,1,4,24000,0,1,160,5,1,4,1,1,1,1,NA,NA,NA,1,1,0,68,64,0,4
8539,1,1,4,50000,94,1,160,3,5,4,1,3,5,5,8000,0,5000,5,0,0,72,65,1,5
8540,1,1,3,1000,150,1,150,4,1,4,1,3,1,1,NA,NA,NA,1,0,0,66,60,0,4
8542,0,1,4,12000,120,1,160,2,1,3,1,3,1,1,NA,NA,NA,1,1,0,60,80,0,3
8544,0,1,4,50000,100,0,180,5,4,2,1,2,1,1,NA,NA,NA,1,1,0,43,75,0,4
